# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P29846	uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Pan RY. et al.(2010)	intact:EBI-7640932|mint:d-09-01943|doi:10.1016/j.febslet.2009.11.090|mint:MINT-7306462|mint:MINT-7306460|pubmed:19958771|imex:IM-15565	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7640950|mint:MINT-7306465|imex:IM-15565-1	intact-miscore:0.4
uniprotkb:Q9WMX2	uniprotkb:P50991	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:O14870|uniprotkb:Q96C51|uniprotkb:Q53QP9|uniprotkb:B2R6I3|uniprotkb:B7Z8B1|uniprotkb:F5H5W3|ensembl:ENSP00000377958.3|intact:EBI-356876|uniprotkb:P50991	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:tcpd_human(display_short)|psi-mi:T-complex protein 1 subunit delta(display_long)|uniprotkb:CCT4(gene name)|uniprotkb:Chaperonin containing T-complex polypeptide 1 subunit 4(gene name synonym)|uniprotkb:Stimulator of TAR RNA-binding(gene name synonym)|uniprotkb:CCT-delta(gene name synonym)|uniprotkb:SRB(gene name synonym)|uniprotkb:CCTD(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513409|imex:IM-26663-21	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:Q14974	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:Q14637|uniprotkb:Q96J27|uniprotkb:Q53XN2|uniprotkb:B7ZAV6|uniprotkb:D3DTT3|intact:EBI-28976864|ensembl:ENSP00000290158.3|ensembl:ENSP00000464042.2|intact:EBI-286758|uniprotkb:Q14974	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:imb1_human(display_short)|psi-mi:Importin subunit beta-1(display_long)|uniprotkb:KPNB1(gene name)|uniprotkb:Pore targeting complex 97 kDa subunit(gene name synonym)|uniprotkb:NTF97(gene name synonym)|uniprotkb:Importin-90(gene name synonym)|uniprotkb:Nuclear factor p97(gene name synonym)|uniprotkb:Karyopherin subunit beta-1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11515512|imex:IM-26663-31	intact-miscore:0.5
uniprotkb:Q9WMX2	uniprotkb:P0C0S8	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:P02261|uniprotkb:Q2M1R2|uniprotkb:Q76PA6|intact:EBI-1642354|ensembl:ENSP00000351589.3|ensembl:ENSP00000352119.2|ensembl:ENSP00000352627.3|ensembl:ENSP00000482431.2|ensembl:ENSP00000482538.2|ensembl:ENSP00000520538.1|ensembl:ENSP00000520791.1|intact:EBI-1390628|uniprotkb:P0C0S8	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)|IntAct:core(author assigned name)	psi-mi:h2a1_human(display_short)|psi-mi:Histone H2A type 1(display_long)|uniprotkb:H2AC11(gene name)|uniprotkb:Histone H2A/ptl(gene name synonym)|uniprotkb:HIST1H2AM(gene name synonym)|uniprotkb:HIST1H2AL(gene name synonym)|uniprotkb:HIST1H2AK(gene name synonym)|uniprotkb:HIST1H2AI(gene name synonym)|uniprotkb:HIST1H2AG(gene name synonym)|uniprotkb:H2AFP(gene name synonym)|uniprotkb:H2AFN(gene name synonym)|uniprotkb:H2AFI(gene name synonym)|uniprotkb:H2AFD(gene name synonym)|uniprotkb:H2AFC(gene name synonym)|uniprotkb:H2AC17(gene name)|uniprotkb:H2AC16(gene name)|uniprotkb:H2AC15(gene name)|uniprotkb:H2AC13(gene name)|IntAct:HIST1H2AG(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Pichlmair A et al.(2012)	intact:EBI-6137868|pubmed:22810585|imex:IM-17331	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6154835|imex:IM-17331-4	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:P12004	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:B2R897|uniprotkb:D3DW02|ensembl:ENSP00000368438.5|ensembl:ENSP00000368458.3|intact:EBI-358311|uniprotkb:P12004	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:pcna_human(display_short)|psi-mi:Proliferating cell nuclear antigen(display_long)|uniprotkb:PCNA(gene name)|uniprotkb:Cyclin(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513409|imex:IM-26663-21	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:P07437	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:P05218|uniprotkb:Q8WUC1|uniprotkb:Q9CY33|ensembl:ENSP00000339001.7|ensembl:ENSP00000373058.4|ensembl:ENSP00000399155.2|ensembl:ENSP00000400663.2|ensembl:ENSP00000401317.2|ensembl:ENSP00000406811.2|ensembl:ENSP00000410071.2|ensembl:ENSP00000410829.2|intact:EBI-350864|uniprotkb:P07437	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:tbb5_human(display_short)|psi-mi:Tubulin beta chain(display_long)|uniprotkb:TUBB(gene name)|uniprotkb:OK/SW-cl.56(orf name)|uniprotkb:TUBB5(gene name synonym)|uniprotkb:Tubulin beta-5 chain(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513409|imex:IM-26663-21	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:O14980	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:A6NL14|uniprotkb:A8K1K5|uniprotkb:Q63HP8|uniprotkb:Q68CP3|uniprotkb:Q99433|uniprotkb:D6W5E2|ensembl:ENSP00000384863.2|ensembl:ENSP00000385559.1|ensembl:ENSP00000385942.2|ensembl:ENSP00000503167.1|ensembl:ENSP00000503419.1|ensembl:ENSP00000503482.1|ensembl:ENSP00000503572.1|ensembl:ENSP00000503809.1|ensembl:ENSP00000504087.1|ensembl:ENSP00000504198.1|ensembl:ENSP00000504247.1|ensembl:ENSP00000504543.1|ensembl:ENSP00000504594.1|ensembl:ENSP00000504848.1|intact:EBI-355867|uniprotkb:O14980	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:xpo1_human(display_short)|psi-mi:Exportin-1(display_long)|uniprotkb:XPO1(gene name)|uniprotkb:Chromosome region maintenance 1 protein homolog(gene name synonym)|uniprotkb:CRM1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513409|imex:IM-26663-21	intact-miscore:0.5
uniprotkb:Q9WMX2	uniprotkb:O14980	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:A6NL14|uniprotkb:A8K1K5|uniprotkb:Q63HP8|uniprotkb:Q68CP3|uniprotkb:Q99433|uniprotkb:D6W5E2|ensembl:ENSP00000384863.2|ensembl:ENSP00000385559.1|ensembl:ENSP00000385942.2|ensembl:ENSP00000503167.1|ensembl:ENSP00000503419.1|ensembl:ENSP00000503482.1|ensembl:ENSP00000503572.1|ensembl:ENSP00000503809.1|ensembl:ENSP00000504087.1|ensembl:ENSP00000504198.1|ensembl:ENSP00000504247.1|ensembl:ENSP00000504543.1|ensembl:ENSP00000504594.1|ensembl:ENSP00000504848.1|intact:EBI-355867|uniprotkb:O14980	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:xpo1_human(display_short)|psi-mi:Exportin-1(display_long)|uniprotkb:XPO1(gene name)|uniprotkb:Chromosome region maintenance 1 protein homolog(gene name synonym)|uniprotkb:CRM1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11515336|imex:IM-26663-29	intact-miscore:0.5
uniprotkb:Q9WMX2	uniprotkb:O14980	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:A6NL14|uniprotkb:A8K1K5|uniprotkb:Q63HP8|uniprotkb:Q68CP3|uniprotkb:Q99433|uniprotkb:D6W5E2|ensembl:ENSP00000384863.2|ensembl:ENSP00000385559.1|ensembl:ENSP00000385942.2|ensembl:ENSP00000503167.1|ensembl:ENSP00000503419.1|ensembl:ENSP00000503482.1|ensembl:ENSP00000503572.1|ensembl:ENSP00000503809.1|ensembl:ENSP00000504087.1|ensembl:ENSP00000504198.1|ensembl:ENSP00000504247.1|ensembl:ENSP00000504543.1|ensembl:ENSP00000504594.1|ensembl:ENSP00000504848.1|intact:EBI-355867|uniprotkb:O14980	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:xpo1_human(display_short)|psi-mi:Exportin-1(display_long)|uniprotkb:XPO1(gene name)|uniprotkb:Chromosome region maintenance 1 protein homolog(gene name synonym)|uniprotkb:CRM1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11515625|imex:IM-26663-35	intact-miscore:0.5
uniprotkb:Q13315	intact:EBI-6863782	uniprotkb:O15429|uniprotkb:Q12758|uniprotkb:Q16551|uniprotkb:Q93007|uniprotkb:Q9NP02|uniprotkb:Q9UCX7|intact:EBI-1059333|uniprotkb:B2RNX5|intact:EBI-28985245|ensembl:ENSP00000278616.4|ensembl:ENSP00000388058.2|ensembl:ENSP00000469471.2|ensembl:ENSP00000501606.1|ensembl:ENSP00000519149.1|intact:EBI-495465|uniprotkb:Q13315	-	psi-mi:atm_human(display_short)|psi-mi:Serine-protein kinase ATM(display_long)|uniprotkb:ATM(gene name)|uniprotkb:Ataxia telangiectasia mutated(gene name synonym)|HPIDb:ATM(author assigned name)	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:"MI:0663"(confocal microscopy)	Lai C.K. et al.(2008)	intact:EBI-6881090|pubmed:17931678|imex:IM-26033	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6900126|imex:IM-26033-9	intact-miscore:0.46
uniprotkb:Q13315	intact:EBI-6863782	uniprotkb:O15429|uniprotkb:Q12758|uniprotkb:Q16551|uniprotkb:Q93007|uniprotkb:Q9NP02|uniprotkb:Q9UCX7|intact:EBI-1059333|uniprotkb:B2RNX5|intact:EBI-28985245|ensembl:ENSP00000278616.4|ensembl:ENSP00000388058.2|ensembl:ENSP00000469471.2|ensembl:ENSP00000501606.1|ensembl:ENSP00000519149.1|intact:EBI-495465|uniprotkb:Q13315	-	psi-mi:atm_human(display_short)|psi-mi:Serine-protein kinase ATM(display_long)|uniprotkb:ATM(gene name)|uniprotkb:Ataxia telangiectasia mutated(gene name synonym)|HPIDb:ATM(author assigned name)	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:"MI:0663"(confocal microscopy)	Lai C.K. et al.(2008)	intact:EBI-6881090|pubmed:17931678|imex:IM-26033	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6900160|imex:IM-26033-11	intact-miscore:0.46
intact:EBI-6863782	uniprotkb:P68104	-	uniprotkb:P04719|uniprotkb:P04720|intact:EBI-2834776|intact:EBI-8011754|intact:MINT-4903558|uniprotkb:Q6IQ15|ensembl:ENSP00000330054.2|ensembl:ENSP00000339053.4|ensembl:ENSP00000339063.7|ensembl:ENSP00000348651.3|ensembl:ENSP00000392366.2|ensembl:ENSP00000479055.2|ensembl:ENSP00000503192.1|ensembl:ENSP00000503249.1|ensembl:ENSP00000503823.1|ensembl:ENSP00000504335.1|intact:EBI-16423274|intact:EBI-352162|uniprotkb:P68104	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:ef1a1_human(display_short)|psi-mi:Elongation factor 1-alpha 1(display_long)|uniprotkb:EEF1A1(gene name)|uniprotkb:Leukocyte receptor cluster member 7(gene name synonym)|uniprotkb:Elongation factor Tu(gene name synonym)|uniprotkb:Eukaryotic elongation factor 1 A-1(gene name synonym)|uniprotkb:LENG7(gene name synonym)|uniprotkb:EF1A(gene name synonym)|uniprotkb:EEF1A(gene name synonym)|HPIDb:Eef1a1(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lai C.K. et al.(2008)	intact:EBI-6863761|pubmed:18562541|imex:IM-26711	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6863780|imex:IM-26711-1	intact-miscore:0.35
intact:EBI-6863782	uniprotkb:Q13315	-	uniprotkb:O15429|uniprotkb:Q12758|uniprotkb:Q16551|uniprotkb:Q93007|uniprotkb:Q9NP02|uniprotkb:Q9UCX7|intact:EBI-1059333|uniprotkb:B2RNX5|intact:EBI-28985245|ensembl:ENSP00000278616.4|ensembl:ENSP00000388058.2|ensembl:ENSP00000469471.2|ensembl:ENSP00000501606.1|ensembl:ENSP00000519149.1|intact:EBI-495465|uniprotkb:Q13315	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:atm_human(display_short)|psi-mi:Serine-protein kinase ATM(display_long)|uniprotkb:ATM(gene name)|uniprotkb:Ataxia telangiectasia mutated(gene name synonym)|HPIDb:ATM(author assigned name)	psi-mi:"MI:0663"(confocal microscopy)	Lai C.K. et al.(2008)	intact:EBI-6881090|pubmed:17931678|imex:IM-26033	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6881133|imex:IM-26033-1	intact-miscore:0.46
intact:EBI-6863782	uniprotkb:Q13315	-	uniprotkb:O15429|uniprotkb:Q12758|uniprotkb:Q16551|uniprotkb:Q93007|uniprotkb:Q9NP02|uniprotkb:Q9UCX7|intact:EBI-1059333|uniprotkb:B2RNX5|intact:EBI-28985245|ensembl:ENSP00000278616.4|ensembl:ENSP00000388058.2|ensembl:ENSP00000469471.2|ensembl:ENSP00000501606.1|ensembl:ENSP00000519149.1|intact:EBI-495465|uniprotkb:Q13315	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:atm_human(display_short)|psi-mi:Serine-protein kinase ATM(display_long)|uniprotkb:ATM(gene name)|uniprotkb:Ataxia telangiectasia mutated(gene name synonym)|HPIDb:ATM(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lai C.K. et al.(2008)	intact:EBI-6881090|pubmed:17931678|imex:IM-26033	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6881157|imex:IM-26033-3	intact-miscore:0.46
intact:EBI-6863782	uniprotkb:Q13315	-	uniprotkb:O15429|uniprotkb:Q12758|uniprotkb:Q16551|uniprotkb:Q93007|uniprotkb:Q9NP02|uniprotkb:Q9UCX7|intact:EBI-1059333|uniprotkb:B2RNX5|intact:EBI-28985245|ensembl:ENSP00000278616.4|ensembl:ENSP00000388058.2|ensembl:ENSP00000469471.2|ensembl:ENSP00000501606.1|ensembl:ENSP00000519149.1|intact:EBI-495465|uniprotkb:Q13315	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:atm_human(display_short)|psi-mi:Serine-protein kinase ATM(display_long)|uniprotkb:ATM(gene name)|uniprotkb:Ataxia telangiectasia mutated(gene name synonym)|HPIDb:ATM(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lai C.K. et al.(2008)	intact:EBI-6881090|pubmed:17931678|imex:IM-26033	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6881183|imex:IM-26033-5	intact-miscore:0.46
uniprotkb:Q13315	intact:EBI-6863782	uniprotkb:O15429|uniprotkb:Q12758|uniprotkb:Q16551|uniprotkb:Q93007|uniprotkb:Q9NP02|uniprotkb:Q9UCX7|intact:EBI-1059333|uniprotkb:B2RNX5|intact:EBI-28985245|ensembl:ENSP00000278616.4|ensembl:ENSP00000388058.2|ensembl:ENSP00000469471.2|ensembl:ENSP00000501606.1|ensembl:ENSP00000519149.1|intact:EBI-495465|uniprotkb:Q13315	-	psi-mi:atm_human(display_short)|psi-mi:Serine-protein kinase ATM(display_long)|uniprotkb:ATM(gene name)|uniprotkb:Ataxia telangiectasia mutated(gene name synonym)|HPIDb:ATM(author assigned name)	psi-mi:ns3_ns4a_hcvco(display_short)|psi-mi:Serine protease NS3/Non-structural protein 4A(display_long)|HPIDb:NS3/4A(author assigned name)	psi-mi:"MI:0663"(confocal microscopy)	Lai C.K. et al.(2008)	intact:EBI-6881090|pubmed:17931678|imex:IM-26033	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-6881192|imex:IM-26033-7	intact-miscore:0.46
uniprotkb:Q9WMX2	uniprotkb:P09651	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:Q3MIB7|uniprotkb:Q6PJZ7|uniprotkb:A8K4Z8|intact:EBI-2556572|intact:EBI-21353669|ensembl:ENSP00000341826.7|ensembl:ENSP00000503610.1|intact:EBI-352662|uniprotkb:P09651	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)|IntAct:core(author assigned name)	psi-mi:roa1_human(display_short)|psi-mi:Heterogeneous nuclear ribonucleoprotein A1(display_long)|uniprotkb:Hnrnpa1(gene name)|uniprotkb:hnRNP core protein A1(gene name synonym)|uniprotkb:Single-strand RNA-binding protein(gene name synonym)|uniprotkb:Helix-destabilizing protein(gene name synonym)|uniprotkb:Hnrpa1(gene name synonym)|IntAct:HNRNPA1(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Pichlmair A et al.(2012)	intact:EBI-6137868|pubmed:22810585|imex:IM-17331	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6154835|imex:IM-17331-4	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:P62269	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:P25232|uniprotkb:Q6IPF8|uniprotkb:Q5SUJ3|ensembl:ENSP00000211372.5|ensembl:ENSP00000393241.2|ensembl:ENSP00000403175.2|ensembl:ENSP00000412583.2|ensembl:ENSP00000416110.2|intact:EBI-352451|uniprotkb:P62269	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)|IntAct:core(author assigned name)	psi-mi:rs18_human(display_short)|psi-mi:Small ribosomal subunit protein uS13(display_long)|uniprotkb:RPS18(gene name)|uniprotkb:40S ribosomal protein S18(gene name synonym)|uniprotkb:Ke-3(gene name synonym)|uniprotkb:D6S218E(gene name synonym)|IntAct:RPS18(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Pichlmair A et al.(2012)	intact:EBI-6137868|pubmed:22810585|imex:IM-17331	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6154835|imex:IM-17331-4	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:O00571	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:O15536|uniprotkb:A8K538|uniprotkb:B4E3E8|ensembl:ENSP00000478443.1|ensembl:ENSP00000486516.1|ensembl:ENSP00000486720.1|ensembl:ENSP00000487224.1|ensembl:ENSP00000494040.1|intact:EBI-353779|uniprotkb:O00571	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)|IntAct:core(author assigned name)	psi-mi:ddx3x_human(display_short)|psi-mi:ATP-dependent RNA helicase DDX3X(display_long)|uniprotkb:DDX3X(gene name)|uniprotkb:CAP-Rf(gene name synonym)|uniprotkb:DEAD box, X isoform(gene name synonym)|uniprotkb:Helicase-like protein 2(gene name synonym)|uniprotkb:DEAD box protein 3, X-chromosomal(gene name synonym)|uniprotkb:DDX3(gene name synonym)|uniprotkb:DBX(gene name synonym)|IntAct:DDX3X(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Pichlmair A et al.(2012)	intact:EBI-6137868|pubmed:22810585|imex:IM-17331	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6154835|imex:IM-17331-4	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037550	uniprotkb:Q9WMX2-PRO_0000037551	intact:EBI-8853273|uniprotkb:Q9WMX2-PRO_0000037550	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	psi-mi:q9wmx2-pro_0000037550(display_short)|psi-mi:Non-structural protein 4B(display_long)|HPIDb:NS4B(author assigned name)	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)|HPIDb:NS5a(author assigned name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Stone M. et al.(2007)	intact:EBI-8853248|pubmed:17301141|imex:IM-25879	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9005424|imex:IM-25879-7	intact-miscore:0.43
uniprotkb:Q9WMX2-PRO_0000037550	uniprotkb:Q9WMX2-PRO_0000037552	intact:EBI-8853273|uniprotkb:Q9WMX2-PRO_0000037550	intact:EBI-9005440|uniprotkb:Q9WMX2-PRO_0000037552	psi-mi:q9wmx2-pro_0000037550(display_short)|psi-mi:Non-structural protein 4B(display_long)|HPIDb:NS4B(author assigned name)	psi-mi:q9wmx2-pro_0000037552(display_short)|psi-mi:RNA-directed RNA polymerase(display_long)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Stone M. et al.(2007)	intact:EBI-8853248|pubmed:17301141|imex:IM-25879	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9005424|imex:IM-25879-7	intact-miscore:0.35
